Andhra Pradesh Police,,,
SN,item,count,ref_nos
520,construction of model police station building at airport ( renigunta ) of tirupati sub work: internal partitions ( 2nd call ),1,T040/2018-19
521,improvements to iii town police station ? bommanapalli road from km 0/0 to 5/4 in khammam district. sub work:- providing road safety interventions on iii town police station - bommanapalli road from km 0/0 to 5/4,1,7/TS/TA/2014-2015/1     Date:  30.10.2014 .
522,construction of rcc drain from old police station i.e t. m office to old fire station in port area,1,IENG/CP/EE(East)/T/67 Dt. 21.11.2024
523,piparwar area.,3,"GM(PPR)/Civil/22-23 / 6282 - 96, GM(PPR)/Civil/23-24 /5178, GM(PPR)/Civil/24-25 /2179"
524,repairing of existing damaged quarry boulder fencing from police picket towards c patch under ashok ocp,1,GM(PPR)/Civil/24-25 /2179
525,development of new a site ro at ts police site kyasampally- v kamareddy- m warangal divisional office tapso,1,SRCC/LT/326/TAPSO/2021-22
526,development of new a site ro at police site rajahmundry,1,SRCC/LT/194/TAPSO/2023-24
527,tapso.,1,SRCC/LT/194/TAPSO/2023-24
528,west godavari dist. vizag divisional office,1,SRCC/LT/194/TAPSO/2023-24
529,lalacheruvu,1,SRCC/LT/194/TAPSO/2023-24
530,ponnala ( v ),1,SRCC/LT/280/TAPSO/2022-23
531,development of new a site ro at dist police head office,1,SRCC/LT/280/TAPSO/2022-23
532,providing light vehicles on hire basis to s. v. p. national police academy for a period of three years,1,17603/2022-23/HK-1/Motors
533,laying of c. c. road in the premises of police guest house at gandhi nagar in div. no. 27 of ramagundam municipal corporation,1,197/EE/GF/RMC/2021-1
534,kurushetra chs in front of naupada police station in ward no. 21 ( c ),1,TMC/PRO/PWD/NKWC/895/2020-21
535,fixing speed breaker at krushankunj society,1,TMC/PRO/PWD/NKWC/895/2020-21
536,constuction of gutter pathway behind police patil niwas kopari goan in ward no 20d naupada kopari ward committee,1,TMC/PRO/PWD/NKWC/741/2020-21
537,provision of barrack office room,1,GM (M-A)/SO(C)/eTender/2018-19/ 2300
538,morcha,1,GM (M-A)/SO(C)/eTender/2018-19/ 2300
539,bathroom at amaradih police picket under magadh project of magadh amrapali area,1,GM (M-A)/SO(C)/eTender/2018-19/ 2300
540,toilet,1,GM (M-A)/SO(C)/eTender/2018-19/ 2300
541,maintenance of central median plantation from kuc police station to kanishka mahila college at bheemaram in warangal ( urban ) district,1,D/2004/2019 Dt 22-10-2019
542,raising,1,D/2004/2019 Dt 22-10-2019
543,bathroom at gompha bop of 25th bn i t b police ap,1,NO/ITBP/25TH BN/ENGR/TENDER/18-19/6377C
544,installation structural prefabricated toilet,1,NO/ITBP/25TH BN/ENGR/TENDER/18-19/6377C
545,ward no- 1 dr. ambedkar nagar me police thana se main road tak interlocking road nirman karya,1,342(1-2)/N.P.BANKATI/2018-19 DATED 25-10-2018
546,phq under sub div-iii of swbmd during 2017-18. (sh supply of material ).,1,197/EE/CBMDIV. M-121(N)/2017-18
547,eor to police colony 16 b,1,197/EE/CBMDIV. M-121(N)/2017-18
548,laying cc patch by rmc beside bahadurpura police station in doodhbowli divn.,1,Short Tender Notice No.21/EE.Div. No.5/GHMC/2014-15  Dated:25.09.2014 (Item 5)
549,providing addl catchpits on the foothpath,1,Short Tender Notice No.21/EE.Div. No.5/GHMC/2014-15  Dated:25.09.2014 (Item 5)
550,repairs,3,"Tender Notice No.13/2018-19/Dy.E.E., Dt.12.07.2018-4 (1st Call), Short tender Notice No.64/2017-18.Date:01/11/2017, Rc.No.EE3-143809/2017"
551,north side of police station street in ward no. 28,1,"Tender Notice No.13/2018-19/Dy.E.E., Dt.12.07.2018-4 (1st Call)"
552,maintenance of cc drain both sides of china devara veedhi,1,"Tender Notice No.13/2018-19/Dy.E.E., Dt.12.07.2018-4 (1st Call)"
553,providing wall paints to center divider both sides from police station road junction to flyover bridge junction ( palakonda road ),1,"Tender Notice No.21/2018-19/Dy.E.E., Dt.12.12.2018-15 (1st Call)"
554,providing of synthetic enamel paint to central dividers from br stadium ( old guntur police station ) to hindu college centre.,1,ET.No.70/2018-19 Item.No.03
555,construction of model police station building at sattenapalli of guntur district- sub work: providing paved precast interlocking tiles,1,Short tender Notice No.62/2017-18.Date:01/11/2017
556,construction of compound wall to iii town police station back side main office premises municipal corporation rajamahendravaram,1,381/Mcr/General/2016-17
557,providing internal electrical arrangements to a. p. police head quarters at 6th bn.,1,A201/2016-17
558,mangalagiri of guntur district ( stn ),1,A201/2016-17
559,non parking signboards to traffice police in ongole municipal corporation,1,"498/2017-18, Dt.24.06.2017"
560,supply of heavy base p. v. c cones,1,"498/2017-18, Dt.24.06.2017"
561,construction of cc drains from gopala rao street up to gandhibomma statue via police station under sfc grants 2017- 18,1,85/NIT/2017-18
562,providing power distribution boards,1,Short tender Notice No.88/2017-18.Date:27/12/2017
563,earthing accessories to ap police head quarters at 6th bn,1,Short tender Notice No.88/2017-18.Date:27/12/2017
564,video equipment to cid conference hall @ 4th floor of police headquarters building at mangalagiri of guntur district.,1,Short tender Notice No.30/2017-18.Date:22/09/2017
565,providing of audio,3,"Short tender Notice No.30/2017-18.Date:22/09/2017, Short tender Notice No.16/2017-18.Date:19/09/2017, Short tender Notice No.29/2017-18.Date:22/09/2017"
566,rural police station area at various places in 4th ward,1,1176/2016/GENERAL FUNDS/17-18/E1/12 DATED 20.07.2017
567,maintenance of c. c drain at acs mill colony,1,1176/2016/GENERAL FUNDS/17-18/E1/12 DATED 20.07.2017
568,providing precast slab on storm water drain from ttd plots to police ground compound wall in ward no. 19,1,"257/TPT/16-17/Gen/TO,Dt:-05-08-2016"
569,construction of police station building at narasaraopet of guntur district. sub- work: providing of cup board shutters ( 2nd call ),1,"Short TN.No. 36/2016-17, Dt. 27-06-2016"
570,providing permanent structure to 4th floor of new commissioner of police office at visakhapatnam,1,"NIT No:192/HUDHUD/SEPRVSP/2017-18/dt.03.01.2018 of SE,PR,Visakhapatnam"
571,est. rs. 50. 00 lakhs,1,"NIT No:192/HUDHUD/SEPRVSP/2017-18/dt.03.01.2018 of SE,PR,Visakhapatnam"
572,providing security/ temporary illumination arrangements to the police training college in connection with independence day celebrations 2016 at anantapuram town.,1,NIT. No.140/SE/R&B/Elec/VJA/2016-2017 Dt:28.07.2016
573,rest rooms for woman police staff at iiird town traffic ps of vijayawada commissionerate ( 4th call ),1,"Short TN.No. 20/2016-17, Dt. 27-08-2016"
574,providing painting to foot path kerb walls from police control room to benz circle 1st call general funds,1,Rc.No.EE3-116104/2018
575,devlopment of acs mill layout open space back side of ii town police station under sfc 2015- 16,1,266/SFC/2016/E1/9 dated: 21.11.2016
576,construction of compound wall ( north side ( balance work ) ) at district police office building at nellore of spsr nellore district,1,Short Tender No: 51/2017-18/ Dt: 26-11-2017
577,construction of cc road infront of camp office of commissioner of police in waltair main road in ward no 17 of zone- ii,1,Tender Notice No.05/2018-19/EE-II/DB/Dated: 26-04-2018( Item No-2)
578,construction of barracks for 10 nos. of security police men at home minister  s camp office,1,"Tender Notice No. 08/2017-18, Dt: 20-05-2017"
579,vijayawada ( 6th call ),1,"Tender Notice No. 08/2017-18, Dt: 20-05-2017"
580,providing speed breakers,2,"NIT No.61/EE/TO/KLD/2017, Dt: 02-11-2017, NIT No.60/EE/TO/KLD/2017, Dt: 02-11-2017"
581,road safety furniture at black spots on state highways in rayadurg police station circle,1,"NIT No.61/EE/TO/KLD/2017, Dt: 02-11-2017"
582,construction of rcc drain from rc road & avilala junction to mr palli police station in rc road in ward no. 19,1,"374/TPT/16-17/GEN/TO,Dt:-24-10-2016"
583,yerraguntla nagar panchayat- general funds- laying of cc road from masjid to main road,1,15/GF/2016-17/E1
584,beside police station of yerraguntla,1,15/GF/2016-17/E1
585,video equipment to main conferance hall @ 1st floor of police headquarters building at mangalagiri of guntur district.,1,Short tender Notice No.16/2017-18.Date:19/09/2017
586,construction of police head quarters at 6th,3,"Short tender Notice No.49/2017-18.Date:11/10/2017, Short Tender Notice No.39/2017-18.Date:26/08/2017, Short tender Notice No.50/2017-18.Date:11/10/2017"
587,bn.,1,Short Tender Notice No.39/2017-18.Date:26/08/2017
588,mangalagiri of guntur district- subwork: construction of electrical cable duct.,1,Short Tender Notice No.39/2017-18.Date:26/08/2017
589,develop the school premises of sri suresh chandra bahuguna police english medium school in eluru of west godavari district.,1,"NIT No. 168/SSA/CW/2017-18, Dt. 26-02-2018 of the Chief Engineer, APSSA, Amaravati."
590,construction of drain ( both sides ) from iii town police station to bhavanamma temple ( 3 roads junction ) at budhawarapeta in ward no. 16,1,"1-4/14th Finance Commission Grant/knl/SE&EE/17-18,dt.19-07-2017"
591,construction of police station building at piduguralla of guntur district. sub- work: providing cup board shutters ( 2nd call ).,1,"Short TN.No. 37/2016-17, Dt. 27-06-2016"
592,mangalagiri of guntur district ( stn ).,1,A205/2016-17
593,providing lan & net working system to police head quarters at 6th bn,1,A205/2016-17
594,video equipment to dgp conference hall @ 3rd floor of police headquarters building at mangalagiri of guntur district.,1,Short tender Notice No.29/2017-18.Date:22/09/2017
595,providing cc road to approach road to amrutpuram ( inaguduru police station side road ) under sdf grant- 2016- 17.,1,18-2/MMC/SDF/2017-18
596,construction of drain for water drainage from lakshmikant pandey house to madan murari house behind rural police station in ramaipatti ward.,1,NPPM/jal Nikasi/2024-25/06
597,renovation of barrack building near sayal project office to be used as police picket under sayal d project,1,GM(BS)/Civil/Tender/23-24/815
598,barka- sayal area.,1,GM(BS)/Civil/Tender/23-24/815
599,employee in kopari police station boundry in naupada kopari ward committee,1,TMC/PRO/PWD/NKPS/1398/2021-22
600,arrangemnet for mandap,1,TMC/PRO/PWD/NKPS/1398/2021-22
601,lights,1,TMC/PRO/PWD/NKPS/1398/2021-22
602,chairs for on duty offficers,1,TMC/PRO/PWD/NKPS/1398/2021-22
603,pandalpaka,1,NOITBP/56BN/GS FR/ET/21-750-55 DT 08.11.21
604,i tb police,1,NOITBP/56BN/GS FR/ET/21-750-55 DT 08.11.21
605,supply of fresh ration items at 56th bn,1,NOITBP/56BN/GS FR/ET/21-750-55 DT 08.11.21
606,( a. p ) as per specification,1,NOITBP/56BN/GS FR/ET/21-750-55 DT 08.11.21
607,viskhapatnam,1,NOITBP/56BN/GS FR/ET/21-750-55 DT 08.11.21
608,anandapuram mandal,1,NOITBP/56BN/GS FR/ET/21-750-55 DT 08.11.21
609,dadar,1,EE/City/MSIB / e-tender/Labour Soc. / 40 / 2019-2
610,fixing ladikaran at abdul gani chawl no. 7 in front of dadar police station,1,EE/City/MSIB / e-tender/Labour Soc. / 40 / 2019-2
611,laying water supply line,1,EE/City/MSIB / e-tender/Labour Soc. / 40 / 2019-2
612,unit 38,1,Z.O.13.C.NO.C1/9085/2019
613,zone 13,1,Z.O.13.C.NO.C1/9085/2019
614,improvements to police boys club at urur alcot kuppam salai,1,Z.O.13.C.NO.C1/9085/2019
615,besant nagar in div 176,1,Z.O.13.C.NO.C1/9085/2019
616,thahsildar office premises,1,"8(7)/DM/2019-20, Dt.22-08-2019"
617,construction of two waiting halls at mpdo office,1,"8(7)/DM/2019-20, Dt.22-08-2019"
618,police station in rc puram of rc puram mandal,1,"8(7)/DM/2019-20, Dt.22-08-2019"
619,construction of compound wall to krishna prasad memorial high school at police head quarters bit- ii in khammam of khammam district.,1,16/2018-19 Dt.04.12.2018 of the DPRE PIU Khammam
620,providing 16 light vehicles on hire basis to s. v. p. national police academy for a period of one year.,1,12011/3/2015-2016/HS-Motors
621,undertaking maintenance in the new mctp mess at s.v.p. national police academy,1,31011/2/2016-2017/HS-W.(III)
622,installation of cable tv network wiring,1,31011/2/2016-2017/HS-W.(III)
623,proposed constructio n of c c trimix road from old police station to raj kiran at ramnagar for m c jalna,1,jalna/mc/pw/et/28/2015
624,yerraguntla nagar panchayat- 14th finance commission grant- providing pipeline from police station to nagara panchayat office ( elsr ) in yerraguntla.,1,29/14th FC/E1/2016-17 (2nd Call)
625,providing additional accessories for bio- metric,1,Short tender Notice No.117/2017-18.Date:06/02/2018
626,telephone,1,Short tender Notice No.117/2017-18.Date:06/02/2018
627,video to ap police head quarters building at mangalagiri of guntur district,1,Short tender Notice No.117/2017-18.Date:06/02/2018
628,audio,1,Short tender Notice No.117/2017-18.Date:06/02/2018
629,barbed wire fencing around the site of police station building at kothur of nellore,1,Short Tender No: 79/2017-18/ Dt: 16-02-2018
630,providing barbed wire fencing over the compound wall,1,Short Tender No: 79/2017-18/ Dt: 16-02-2018
631,providing gi sheet shed for police control room,1,E1/3639/2016 - Providing GI Sheet shed for Police Control room
632,security room ( on hire basis ) in view of krishna pushkarams- 2016,1,E1/3639/2016 - Providing GI Sheet shed for Police Control room
633,construction of cc road at andhrakesari nagar 3rd line line from police narasimharao ( h ) to pemma nageswararao ( h ) in division no: 43,1,664/2017-18 Dt.31.8.2017
634,supply of 600 rmt rubberised speed breakers,1,Sh.TN.No.35/2017-18/CE(GVMC)/SE(W-II)/EE-III/DB dt.07-10-2017 (Item-03)
635,300nos delinators to police department for erection of the same at various locations in gvmc ( 2nd call ),1,Sh.TN.No.35/2017-18/CE(GVMC)/SE(W-II)/EE-III/DB dt.07-10-2017 (Item-03)
636,providing new center lighting with erection of new poles at ayyappa temple to rural police station at ksp road under general funds,1,1176/2016/GENERAL FUNDS/E1/11 Dated: 18.04.2017
637,road safety furniture at black spots on major district roads in rayadurg police station circle,1,"NIT No.60/EE/TO/KLD/2017, Dt: 02-11-2017"
638,providing pre- fab structure for water purification & kitchen at fifth floor of new police headquarters building at mangalagiri of guntur district,1,Short tender Notice No.119/2017-18. Date:08/02/2018
639,planting of plantation from police station road junction to flyover bridge,1,"T.Notice No.12/2017-18, Dy.EE., Dt.17.06.2017-6"
640,raising of center divider wall on both sides over the existing divider,1,"T.Notice No.12/2017-18, Dy.EE., Dt.17.06.2017-6"
641,providing of cc road from police layout internal roads in 11th ward in allagadda nagar panchayat under sds grant 2018- 19,1,16/ALG NP/ SDS Grant 2018-19/5
642,machilipatnam of krishna district- sub work: supply,2,"Tender Notice No. 116/2017-18, Dt: 29-01-2018, Tender Notice No. 117/2017-18, Dt: 29-01-2018"
643,fixing of furniture at ground floor,1,"Tender Notice No. 116/2017-18, Dt: 29-01-2018"
644,construction of police headquarters at 6th bn,3,"Short Tender Notice No:21/2017-18,Date:06/07/2017, Short tender Notice No.20/2017-18.Date:20/09/2017, Short Tender Notice No.22/2017-18.Date:06/07/2017"
645,mangalagiri of guntur district. sub work: providing cross drainage works around the building,1,"Short Tender Notice No:21/2017-18,Date:06/07/2017"
646,1st line in police colony near ongole minor in pernamitta in division no. 40,1,"429/2018-19, Dt.28.7.18"
647,providing c. c roads for main road,1,"429/2018-19, Dt.28.7.18"
648,rural police station areas at various places in 4th ward,1,1176/2016/GENERAL FUNDS/E1/4 Dated 01-09-2016 2nd CALL
649,maintenance of c. c drains at a. c. s mill colony,1,1176/2016/GENERAL FUNDS/E1/4 Dated 01-09-2016 2nd CALL
650,maintenance of b. t. road to police lane street from kondalamma puntha road to rastrapathi road,1,601/4/2016/E1
651,cc drain infront of west police station at rs mada street in ward no. 32. ( 2nd call ),1,"230/TPT/18-19/GEN/TO,DT. 23-10-2018"
652,construction of rcc culvert,1,"230/TPT/18-19/GEN/TO,DT. 23-10-2018"
653,laying of cc roads,1,37/2017-18/S.E(W)/E.E-VI/DB/Dt: 03-11-2017 (Item No: 04) SC SP
654,drains opp police station road,1,37/2017-18/S.E(W)/E.E-VI/DB/Dt: 03-11-2017 (Item No: 04) SC SP
655,back side community hall in laxmi nagar in ward no: 68,1,37/2017-18/S.E(W)/E.E-VI/DB/Dt: 03-11-2017 (Item No: 04) SC SP
656,rcc culvert at sub division police office to hero showroom in 8th ward under municipal general fund.,1,43/jto/2016-17-11
657,providing cc drain,1,43/jto/2016-17-11
658,repairs to the existing lawn tennis court damaged during hud- hud cyclone near 3 town police station in zone- 2,1,"Tender Notice No.14/2017-18/SE/EE(PL&C)/GVMC, Dt.24-08-2017 (Item-2)"
659,mangalagiri of guntur district. sub- work: supply,1,Short Tender Notice No.30/2017-18.Date:31/07/2017
660,construction of police headquarters at 6th battalion,1,Short Tender Notice No.30/2017-18.Date:31/07/2017
661,plantation of plants on east side.,1,Short Tender Notice No.30/2017-18.Date:31/07/2017
662,construction of police head quarters at 6th bn,9,"Short tender Notice No.43/2017-18.Date:10/10/2017, Short tender Notice No.05/2018-19.Date:11/06/2018, Short Tender Notice No.28/2017-18.Date:26/07/2017, Short Tender Notice No.31/2017-18.Date:26/07/2017, Short tender Notice No.58/2017-18.Date:20/10/2017, Short tender Notice No.45/2017-18.Date:10/10/2017, Short tender Notice No.34/2017-18.Date:26/09/2017, Short tender Notice No.44/2017-18.Date:10/10/2017, Short tender Notice No.59/2017-18.Date:21/10/2017"
663,apsp mangalagiri of guntur district.- sub work: providing balance alco pannel,1,Short tender Notice No.43/2017-18.Date:10/10/2017
664,mangalagir of guntur district- sub work: providing ss hand railing.,1,Short tender Notice No.45/2017-18.Date:10/10/2017
665,fixing of furniture at first floor.,1,"Tender Notice No. 117/2017-18, Dt: 29-01-2018"
666,laying of c. c. surface road on back side of ayyappa swamy temple in reserve police line in 47th division,1,ROC.NO.8651/2016/E2
667,mangalagiri of guntur district. sub- work: providing bt road from north to south,1,Short Tender Notice No.28/2017-18.Date:26/07/2017
668,prasad nagar police station,1,59/EE(E)/PWD EMD M-453/2013-14
669,rmo pump sets at various police station under ae(e) m-4532/pwd emd m-453. (sh- moei,1,59/EE(E)/PWD EMD M-453/2013-14
670,moei,1,59/EE(E)/PWD EMD M-453/2013-14
671,new delhi.,1,59/EE(E)/PWD EMD M-453/2013-14
672,residential attached quarters,1,59/EE(E)/PWD EMD M-453/2013-14
673,operation of p/set at karol bagh,1,59/EE(E)/PWD EMD M-453/2013-14
674,fans,1,59/EE(E)/PWD EMD M-453/2013-14
675,d.b. gupta road,1,59/EE(E)/PWD EMD M-453/2013-14
676,annual plan thannithodu gp 109 24- 25 concreting of thannithodu moozhi police station vayalungal padi nadapatha in ward 12,1,13/AE/LIDEW/TND/2024-25
677,chambers,3,"No. ITBP/56Bn/Tender/2024-524-30 Dt-30-07-24, No. ITBP/56 Bn/Engr/Tender/2024-504-10 Dt-26-7-24, No-ITBP/56/Engr/2024-643-49 dt-13/9/24"
678,arm of sewer line for the year 2024- 25 at 56th bn itb police visakhapatnam sh cleaning of chocked sewer line,1,No-ITBP/56/Engr/2024-643-49 dt-13/9/24
679,arm of sewer line for the year 2024- 25 at 56th bn itb police visakhapatnam sh- cleaning of chocked sewer line,2,"No. ITBP/56Bn/Tender/2024-524-30 Dt-30-07-24, No. ITBP/56 Bn/Engr/Tender/2024-504-10 Dt-26-7-24"
680,construction of bituminous road from mukundhar police camp to natun hat via upen barman house within anantapur gp under kaliyaganj block,1,WBSRDA/SSM/13 of 2023-24
681,gandhoniya mines under urimari ocp.,1,SO(EnM)/B-S/e Tender/21-22/ 2379
682,gandhoniya village,1,SO(EnM)/B-S/e Tender/21-22/ 2379
683,police picket,1,SO(EnM)/B-S/e Tender/21-22/ 2379
684,dismantling,1,SO(EnM)/B-S/e Tender/21-22/ 2379
685,providing fixing of 04nos. of gang operating switch at tilaiya village,1,SO(EnM)/B-S/e Tender/21-22/ 2379
686,tensioning of 440v lt ohl ( 4 wire ) of police picket at a- b colony,1,PE(EnM)/Pnd/NIT/2020-21/112
687,upkeeping of residential buildings of nehru nagar,1,SECL/GM/KSM/CIVIL/ e-Tender/19-20/01 dt 1/4/19
688,cleaning,1,SECL/GM/KSM/CIVIL/ e-Tender/19-20/01 dt 1/4/19
689,cmpdil colony of kusmunda area for two years.,1,SECL/GM/KSM/CIVIL/ e-Tender/19-20/01 dt 1/4/19
690,rescue,1,SECL/GM/KSM/CIVIL/ e-Tender/19-20/01 dt 1/4/19
691,open tender enquiry for providing of light vehicles on lease basis to s. v. p. national police academy for a period of one year,1,12011/8/2017-2018/HS-Motors
692,open tender enquiry for providing of light vehicles on hire basis to s. v. p. national police academyfor a period of one year,1,12011/2/2012-2013/HS-Motors
693,wmm near police station,1,SHAR_CMG_CVIL_MAINT_E_TC_17_001
694,cisf barracks at gate- l sdsc shar.,1,SHAR_CMG_CVIL_MAINT_E_TC_17_001
695,proposed light,1,SHAR_CMG_CVIL_MAINT_E_TC_17_001
696,heavy vehicle parking yard gsb,1,SHAR_CMG_CVIL_MAINT_E_TC_17_001
697,open tender enquiry for providing of light vehicles on hire basis to s. v. p. national police academy for a period of one year,1,12011/2/2012-2013/HS-Motors
698,construxtion of cc road at mangilal plot at abhinav state bank colony near fezarpura police station,1,AMC/PWD/C.E./NIT/106/16 dt. 10.10.2016
699,main road in pr.no. 13.,1,AMC/PWD/C.E./NIT/106/16 dt. 10.10.2016
700,upkeeping of residential quarters of nehru nagar,1,SECL/GM/KSM/CIVIL/e-Tender/ 16-17/143 dtd 19/12/16
701,annual cleaning,2,"SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18, SECL/GM/KSM/CIVIL/e-Tender/ 16-17/143 dtd 19/12/16"
702,cmpdil colony of kusmunda area.,1,SECL/GM/KSM/CIVIL/e-Tender/ 16-17/143 dtd 19/12/16
703,rescue quarters,2,"SECL/GM/KSM/CIVIL/e-Tender/ 17-18/125 dtd 17/01/18, SECL/GM/KSM/CIVIL/e-Tender/ 16-17/143 dtd 19/12/16"
704,433 pairs oxford shoe brown color for use in delhi police,1,172/CSA(Q-IV)/DCP-PANDL/2015
705,e- tender for purchase of 70596 pairs oxford shoe black color,1,172/CSA(Q-IV)/DCP-PANDL/2015
706,laying of hdpe  of distribution water supply pipe line from old police station to kandukuri mallaiah  (h) in ward no 5 ibrahimpatnam nagarpanchayath.,1,E1/1172/25/2014-15
707,construction of cc road at maruthi nagar m. lakshmi narayan house to k. jyothi house ( police conistable road ) in div no: 44,1,840/2018-19 Dt:19.11.2018
708,providing cc road from police quarters ( pole no. 5w/ 63 ) to rsgistration office ( pole no. 5w/ 60 ) in 5th ward in tiruvuru nagarpanchayat,1,529-1/2018/E1
709,restoration of road from head post office road junction to gandhi circle east police station ( road cut by idea cellular services ),1,"103/TPT/15-16/GEN/TO,Dt:-05-05-2016"
710,yerraguntla nagar panchayat- 14th finance commission grant- providing pipeline from four roads to municipal complex ( near police station ) in yerraguntla.,1,30/14thFC/E1/2016-17 (2nd Call)
711,providing gap filling plants in the central median in bheemili beach road from rushikonda marine police station to timmapuram bus stop jn,1,"Tender Notice No.11/2016-17/SE(P-II)/EE(PL&C)/GVMC, dt:22-12-2016 (Item-2)"
712,providing figurative/ non- figurative paintings at west side of fly over side walls ( taluka police station ) side in ongole municipal corporation,1,751/2017-18. Dt.10.11.2017
713,at other locations in gvmc limits,1,"Tender Notice No.28/2017-18/EE(PL&C)/GVMC, dt:20-01-2018(Item-2)"
714,providing mural art painting to the boundary wall ( police officers  quarters ) opp. au engineer  s office,1,"Tender Notice No.28/2017-18/EE(PL&C)/GVMC, dt:20-01-2018(Item-2)"
715,laying of cc side berms to the existing b. t side street roads from police out post to ymca & in kirlampudi layout in ward no. 18,1,T.No 20/2016-17/SE(W-1)/EE II/DB/dt: 13.06.16 (Item No.12)
716,renewal of existing b. t road by hot mix process infront of 4th town police station in balayya sastry in ward no. 11,1,T.No 20/2016-17/SE(W-1)/EE II/DB/dt: 13.06.16 (Item No.3)
717,laying of c. c. road from ii town police station main road to near command control office at kothapeta in ward no. 50.,1,"21-14/General Fund/knl/EE-I/16-17, dt.02-08-2016"
718,construction of compound wall chain link mesh in between police department plots along the bt road of danduvaripalli at lrs siddarampuram of ananthapuram district,1,A17/2017-18
719,fixing of molded shanks raised pavement markers ( studds ) at annamaiah circle to mr palli police station,1,"118/TPT/16-17/GEN/TO,Dt.21-05-2016"
720,providing thermoplastic painting to dividers,1,"118/TPT/16-17/GEN/TO,Dt.21-05-2016"
721,mangalagiri of guntur district- sub work: providing painting work in second floor @ phq building.,1,Short tender Notice No.20/2017-18.Date:20/09/2017
722,placing of rcc central divider blocks as directed by traffic police visakhapatnam city in various roads of visakhapatnam city,1,T.No.51/2017-18/SE(W)/EE-III(W)/DB Dt.20-12-2017(Item-05)
723,removal of silt in major drain from d. no. 11/ 159 to 14/ 354- 5- 2 in ii town police station in 34th division.,1,582/GF/ATO-III/MCK
724,mangalagiri of guntur district.- sub work: providing clading tiles for gardening work,1,Short tender Notice No.44/2017-18.Date:10/10/2017
725,mangalagiri of guntur district- sub work: providing painting work in first floor @ phq building.,1,Short tender Notice No.19/2017-18.Date:20/09/2017
726,mangalagiri of guntur district- sub work: providing interlocking paver tiles in visitors parking area.,1,Short tender Notice No.28/2017-18.Date:21/09/2017
727,providing 160mm hdpe pipe line from police bhasakarrao house aera to kvr college aera in 14th ward in nandigama nagar panchayat,1,1207/2016/E1
728,mangalagiri of guntur district. sub work: providing cable to air conditioners outdoor units.,1,Short tender Notice No.58/2017-18.Date:20/10/2017
729,mangalagiri of guntur district- sub work: providing painting work in third floor @ phq building.,1,Short tender Notice No.22/2017-18.Date:21/09/2017
730,roviding of cc drain from gurucharan house to police naidu house at aditya nagar in ward no. 26 est cost: 2. 80 lakhs,1,"e-Proc. NIT No.1179/22/E2/TO/17-18, Dt.16-03-2018, DB-2 S.No.23"
731,renovation upgradation existing kitchen 3 no 120 men jawan barrack of 56th bn itb police visakhapatnam ap provision of modular kitchen,1,ITBP/56BN/TENDER/2025-18-24 DT-4-1-25
732,development of new a site ro at car head quarters ts police department at nizamabad town ( m,1,SRCC/LT/114/TAPSO/2023-24
733,d ) warangal divisional office tapso,1,SRCC/LT/114/TAPSO/2023-24
734,canopy with allied civil,1,SRCC/LT/134/TAPSO/2023-24
735,electrical works at chittor police site on greamspet road,1,SRCC/LT/134/TAPSO/2023-24
736,chittor district under tirupati divisional office.,1,SRCC/LT/134/TAPSO/2023-24
737,provision of driveway,1,SRCC/LT/134/TAPSO/2023-24
738,development of new a site ro at ts special police sardapur ( v ),1,SRCC/LT/311/TAPSO/2021-22
739,rajanna sircilla ( d ),1,SRCC/LT/311/TAPSO/2021-22
740,sircilla ( m ),1,SRCC/LT/311/TAPSO/2021-22
741,warangal divisional office tapso,1,SRCC/LT/311/TAPSO/2021-22
742,police station,2,"DMA/2019-20/WS/WORK_INDENT87692, SECL/GM/KSM/CIVIL/e-Tender/ 16-17/138 dtd 02/12/16"
743,cleaning of borewells near nirmal nagar,1,DMA/2019-20/WS/WORK_INDENT87692
744,kammannavar kavali by fastering method,1,DMA/2019-20/WS/WORK_INDENT87692
745,bharamdevar temple,1,DMA/2019-20/WS/WORK_INDENT87692
746,yeild testing,1,DMA/2019-20/WS/WORK_INDENT87692
747,kalamma temple,1,DMA/2019-20/WS/WORK_INDENT87692
748,kabarstan,1,DMA/2019-20/WS/WORK_INDENT87692
749,repair of turn down boundary wall in k. v. school,1,SECL/GM/KSM/CIVIL/e-Tender/ 16-17/138 dtd 02/12/16
750,c- 55,1,SECL/GM/KSM/CIVIL/e-Tender/ 16-17/138 dtd 02/12/16
751,campus boundary wall of nehru nagar at kusmunda area.,1,SECL/GM/KSM/CIVIL/e-Tender/ 16-17/138 dtd 02/12/16
752,installation of audio visual equipments in the lounge,1,31011/1/2016-2017/HS-W(II)
753,dining hall of newly constructed ips mess at s. v. p. national police academy.,1,31011/1/2016-2017/HS-W(II)
754,construction of small road,1,KDMC/EE/PWD/2014-15/90_20
755,in front of police patil house in ward no 9 n.r.c. colony,1,KDMC/EE/PWD/2014-15/90_20
756,cc gutter at maruti mandir to samrat ashok nagar,1,KDMC/EE/PWD/2014-15/90_20
757,development of landscape works to the central medians where width is more than 3 feet ( 1. 20m ) from nagavarappadu bridge to old police station road in gudivada municipality,1,106/GDV/2017-18
